Model,Context,Instance,DetectedTestFileCount,DetectedBCTestCount
GPT-4o,Minimal,BBC36,12,12
GPT-4o,Minimal,BBC42,1,1
GPT-4o,Minimal,BBC49,9,9
GPT-4o,Minimal,BBC50,1,1
GPT-4o,Minimal,BBC72,45,45
GPT-4o,Minimal,BBC73,47,47
GPT-4o,Class,BBC03,1,1
GPT-4o,Class,BBC06,16,36
GPT-4o,Class,BBC07,2,2
GPT-4o,Class,BBC101,4,4
GPT-4o,Class,BBC103,2,2
GPT-4o,Class,BBC131,2,2
GPT-4o,Class,BBC132,12,25
GPT-4o,Class,BBC136,2,2
GPT-4o,Class,BBC145,3,3
GPT-4o,Class,BBC146,6,12
GPT-4o,Class,BBC147,1,1
GPT-4o,Class,BBC150,7,13
GPT-4o,Class,BBC162,2,2
GPT-4o,Class,BBC165,15,27
GPT-4o,Class,BBC167,2,2
GPT-4o,Class,BBC17,14,25
GPT-4o,Class,BBC27,6,12
GPT-4o,Class,BBC33,1,1
GPT-4o,Class,BBC36,10,22
GPT-4o,Class,BBC42,1,1
GPT-4o,Class,BBC45,1,1
GPT-4o,Class,BBC49,18,33
GPT-4o,Class,BBC50,1,1
GPT-4o,Class,BBC54,1,1
GPT-4o,Class,BBC63,2,2
GPT-4o,Class,BBC72,106,114
GPT-4o,Class,BBC73,97,105
