bump_error_type,bump_total,in_bump_global,model,context_variant,detected,missed,mismatched,novel,detection_rate_%,detected_ids,mismatched_ids,novel_ids,detected_by_any,detected_any_ids
NoClassDefFoundError,35,1,GPT-4o,Method,11,1,0,0,31.4,BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC49|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,GPT-4o,Class,16,1,0,0,45.7,BBC03|BBC06|BBC132|BBC146|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,Qwen-480B,Minimal,11,2,0,0,31.4,BBC03|BBC06|BBC132|BBC150|BBC165|BBC17|BBC27|BBC36|BBC49|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,Qwen-480B,Method,13,0,0,0,37.1,BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC49|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,Qwen-480B,Class,14,2,0,0,40.0,BBC06|BBC132|BBC146|BBC150|BBC165|BBC17|BBC33|BBC36|BBC42|BBC49|BBC50|BBC56|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,GPT-OSS-120b,Minimal,2,1,0,0,5.7,BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,GPT-OSS-120b,Method,8,0,0,0,22.9,BBC06|BBC132|BBC165|BBC17|BBC36|BBC49|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
NoClassDefFoundError,35,1,GPT-OSS-120b,Class,9,0,0,0,25.7,BBC06|BBC132|BBC146|BBC165|BBC17|BBC36|BBC49|BBC72|BBC73,,,19,BBC02|BBC03|BBC06|BBC132|BBC146|BBC147|BBC150|BBC165|BBC17|BBC27|BBC33|BBC36|BBC42|BBC49|BBC50|BBC54|BBC56|BBC72|BBC73
ClassNotFoundException,30,1,GPT-4o,Minimal,10,0,0,0,33.3,BBC02|BBC06|BBC146|BBC150|BBC165|BBC27|BBC36|BBC42|BBC50|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,GPT-4o,Method,7,1,0,0,23.3,BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,GPT-4o,Class,12,1,0,0,40.0,BBC03|BBC06|BBC146|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,Qwen-480B,Minimal,7,2,0,0,23.3,BBC03|BBC06|BBC150|BBC165|BBC27|BBC36|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,Qwen-480B,Method,9,0,0,0,30.0,BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,Qwen-480B,Class,10,2,0,0,33.3,BBC06|BBC146|BBC150|BBC165|BBC33|BBC36|BBC42|BBC50|BBC56|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,GPT-OSS-120b,Minimal,1,0,0,0,3.3,BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,GPT-OSS-120b,Method,4,0,0,0,13.3,BBC06|BBC165|BBC36|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
ClassNotFoundException,30,1,GPT-OSS-120b,Class,5,0,0,0,16.7,BBC06|BBC146|BBC165|BBC36|BBC73,,,15,BBC02|BBC03|BBC06|BBC146|BBC147|BBC150|BBC165|BBC27|BBC33|BBC36|BBC42|BBC50|BBC54|BBC56|BBC73
SocketTimeoutException,15,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
SocketTimeoutException,15,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-4o,Class,0,7,0,0,0.0,,,,0,
ClassCastException,10,1,Qwen-480B,Minimal,0,2,0,0,0.0,,,,0,
ClassCastException,10,1,Qwen-480B,Method,0,4,0,0,0.0,,,,0,
ClassCastException,10,1,Qwen-480B,Class,0,2,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
ClassCastException,10,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
AssertionError,10,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
AssertionError,10,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
AssertionError,10,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
AssertionError,10,1,Qwen-480B,Minimal,0,0,2,0,0.0,,BBC165|BBC36,,0,
AssertionError,10,1,Qwen-480B,Method,0,0,1,0,0.0,,BBC36,,0,
AssertionError,10,1,Qwen-480B,Class,0,0,1,0,0.0,,BBC06,,0,
AssertionError,10,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
AssertionError,10,1,GPT-OSS-120b,Method,0,0,1,0,0.0,,BBC17,,0,
AssertionError,10,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-4o,Minimal,0,2,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-4o,Class,0,2,0,0,0.0,,,,0,
RuntimeException,8,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
RuntimeException,8,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
RuntimeException,8,1,Qwen-480B,Class,0,1,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
RuntimeException,8,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-4o,Minimal,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-4o,Class,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,Qwen-480B,Method,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,Qwen-480B,Class,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-OSS-120b,Minimal,0,1,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
ExceptionInInitializerError,8,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
UnsupportedClassVersionError,8,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
BeanInstantiationException,8,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
NoSuchMethodError,8,1,GPT-4o,Minimal,5,0,0,0,62.5,BBC132|BBC137|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,GPT-4o,Method,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,GPT-4o,Class,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,Qwen-480B,Minimal,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,Qwen-480B,Method,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,Qwen-480B,Class,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,GPT-OSS-120b,Minimal,2,0,0,0,25.0,BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,GPT-OSS-120b,Method,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
NoSuchMethodError,8,1,GPT-OSS-120b,Class,4,0,0,0,50.0,BBC132|BBC17|BBC49|BBC72,,,5,BBC132|BBC137|BBC17|BBC49|BBC72
AssertionFailedError,7,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
AssertionFailedError,7,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
AssertionFailedError,7,1,GPT-4o,Class,0,0,7,0,0.0,,BBC103|BBC131|BBC136|BBC162|BBC167|BBC45|BBC63,,0,
AssertionFailedError,7,1,Qwen-480B,Minimal,0,0,4,0,0.0,,BBC131|BBC167|BBC72|BBC73,,0,
AssertionFailedError,7,1,Qwen-480B,Method,0,0,6,0,0.0,,BBC103|BBC131|BBC136|BBC167|BBC72|BBC73,,0,
AssertionFailedError,7,1,Qwen-480B,Class,0,0,4,0,0.0,,BBC131|BBC162|BBC72|BBC73,,0,
AssertionFailedError,7,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
AssertionFailedError,7,1,GPT-OSS-120b,Method,0,0,2,0,0.0,,BBC72|BBC73,,0,
AssertionFailedError,7,1,GPT-OSS-120b,Class,0,0,2,0,0.0,,BBC72|BBC73,,0,
UnsupportedOperationException,6,1,GPT-4o,Minimal,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,GPT-4o,Class,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,Qwen-480B,Method,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,Qwen-480B,Class,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,GPT-OSS-120b,Minimal,0,1,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
UnsupportedOperationException,6,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-4o,Minimal,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-4o,Class,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,Qwen-480B,Method,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,Qwen-480B,Class,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-OSS-120b,Minimal,0,1,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
InvalidClassException,6,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
ProcessingException,4,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
AbstractMethodError,4,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
SocketException,4,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
SocketException,4,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
SocketException,4,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
SocketException,4,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,Qwen-480B,Minimal,0,0,1,0,0.0,,BBC49,,0,
IllegalArgumentException,3,1,Qwen-480B,Method,0,0,2,0,0.0,,BBC132|BBC36,,0,
IllegalArgumentException,3,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
IllegalArgumentException,3,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
IOException,3,1,GPT-4o,Minimal,0,3,0,0,0.0,,,,0,
IOException,3,1,GPT-4o,Method,0,2,0,0,0.0,,,,0,
IOException,3,1,GPT-4o,Class,0,2,0,0,0.0,,,,0,
IOException,3,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
IOException,3,1,Qwen-480B,Method,0,2,0,0,0.0,,,,0,
IOException,3,1,Qwen-480B,Class,0,2,0,0,0.0,,,,0,
IOException,3,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
IOException,3,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
IOException,3,1,GPT-OSS-120b,Class,0,1,0,0,0.0,,,,0,
Exception,3,1,GPT-4o,Minimal,0,3,0,0,0.0,,,,0,
Exception,3,1,GPT-4o,Method,0,2,0,0,0.0,,,,0,
Exception,3,1,GPT-4o,Class,0,3,0,0,0.0,,,,0,
Exception,3,1,Qwen-480B,Minimal,0,1,0,0,0.0,,,,0,
Exception,3,1,Qwen-480B,Method,0,2,1,0,0.0,,BBC115,,0,
Exception,3,1,Qwen-480B,Class,0,3,6,0,0.0,,BBC06|BBC132|BBC165|BBC17|BBC36|BBC49,,0,
Exception,3,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
Exception,3,1,GPT-OSS-120b,Method,0,0,4,0,0.0,,BBC132|BBC165|BBC36|BBC49,,0,
Exception,3,1,GPT-OSS-120b,Class,0,1,4,0,0.0,,BBC06|BBC132|BBC165|BBC36,,0,
JSONConverterException,2,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
JSONConverterException,2,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
ParseException,2,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
ParseException,2,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
ParseException,2,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
ParseException,2,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-4o,Minimal,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-4o,Method,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-4o,Class,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,Qwen-480B,Minimal,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,Qwen-480B,Method,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,Qwen-480B,Class,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-OSS-120b,Minimal,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-OSS-120b,Method,0,0,0,0,0.0,,,,0,
ScriptBuilderException,2,1,GPT-OSS-120b,Class,0,0,0,0,0.0,,,,0,
APIException,2,1,GPT-4o,Minimal,0,2,0,0,0.0,,,,0,
