model,context_variant,bump_error_type,custom_id,bump_total,in_bump_instance,in_bump_global,llm_triggered,detected,missed,mismatched,novel
GPT-4o,Minimal,ClassNotFoundException,BBC50,30,1,1,1,1,0,0,0
GPT-4o,Minimal,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-4o,Minimal,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC132,35,1,1,0,0,1,0,0
GPT-4o,Minimal,RuntimeSshException,BBC137,1,1,1,0,0,1,0,0
GPT-4o,Minimal,IOException,BBC137,3,1,1,0,0,1,0,0
GPT-4o,Minimal,JSchException,BBC137,1,1,1,0,0,1,0,0
GPT-4o,Minimal,NoSuchMethodError,BBC137,8,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC137,88,1,1,1,1,0,0,0
GPT-4o,Minimal,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
GPT-4o,Minimal,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
GPT-4o,Minimal,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
GPT-4o,Minimal,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
GPT-4o,Minimal,IOException,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Minimal,Exception,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Minimal,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
GPT-4o,Minimal,APIException,BBC146,2,1,1,0,0,1,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
GPT-4o,Minimal,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
GPT-4o,Minimal,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
GPT-4o,Minimal,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
GPT-4o,Method,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
GPT-4o,Method,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
GPT-4o,Method,IOException,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Method,Exception,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Method,MojoFailureException,BBC27,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC27,35,1,1,1,1,0,0,0
GPT-4o,Method,APIException,BBC27,2,1,1,0,0,1,0,0
GPT-4o,Method,ClassNotFoundException,BBC27,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC33,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC33,35,1,1,0,0,1,0,0
GPT-4o,Method,ClassNotFoundException,BBC33,30,1,1,0,0,1,0,0
GPT-4o,Method,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
GPT-4o,Method,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-4o,Method,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC101,88,1,1,1,1,0,0,0
GPT-4o,Method,ArchiverException,BBC101,1,1,1,0,0,1,0,0
GPT-4o,Method,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
GPT-4o,Method,IOException,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Method,Exception,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Method,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
GPT-4o,Method,APIException,BBC146,2,1,1,0,0,1,0,0
GPT-4o,Method,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC147,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC147,35,1,1,1,1,0,0,0
GPT-4o,Method,ClassNotFoundException,BBC147,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
GPT-4o,Method,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
GPT-4o,Method,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
GPT-4o,Method,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
GPT-4o,Method,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
GPT-4o,Class,RuntimeException,BBC03,8,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC03,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC03,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC03,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
GPT-4o,Class,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
GPT-4o,Class,IOException,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Class,Exception,BBC27,3,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC27,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC27,35,1,1,1,1,0,0,0
GPT-4o,Class,APIException,BBC27,2,1,1,0,0,1,0,0
GPT-4o,Class,ClassNotFoundException,BBC27,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC33,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC33,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC33,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
GPT-4o,Class,sendWithReadError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Class,sendWithIOError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Class,ClassNotFoundException,BBC42,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC42,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC42,35,1,1,1,1,0,0,0
GPT-4o,Class,sendWithCloseError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Class,addWithTimeoutError,BBC42,1,1,1,0,0,1,0,0
GPT-4o,Class,Exception,BBC42,3,1,1,0,0,1,0,0
GPT-4o,Class,ClassCastException,BBC45,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC45,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC45,7,0,1,1,0,0,1,0
GPT-4o,Class,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
GPT-4o,Class,RuntimeException,BBC50,8,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC50,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC50,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC50,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC54,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC54,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC54,30,1,1,1,1,0,0,0
GPT-4o,Class,ClassCastException,BBC63,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC63,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC63,7,0,1,1,0,0,1,0
GPT-4o,Class,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC101,88,1,1,1,1,0,0,0
GPT-4o,Class,ArchiverException,BBC101,1,1,1,0,0,1,0,0
GPT-4o,Class,ClassCastException,BBC103,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC103,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC103,7,0,1,1,0,0,1,0
GPT-4o,Class,ClassCastException,BBC131,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC131,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC131,7,0,1,1,0,0,1,0
GPT-4o,Class,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassCastException,BBC136,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC136,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC136,7,0,1,1,0,0,1,0
GPT-4o,Class,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
GPT-4o,Class,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
GPT-4o,Class,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
GPT-4o,Class,IOException,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Class,Exception,BBC146,3,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
GPT-4o,Class,APIException,BBC146,2,1,1,0,0,1,0,0
GPT-4o,Class,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
GPT-4o,Class,MojoFailureException,BBC147,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC147,35,1,1,0,0,1,0,0
GPT-4o,Class,ClassNotFoundException,BBC147,30,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
GPT-4o,Class,ClassCastException,BBC162,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC162,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC162,7,0,1,1,0,0,1,0
GPT-4o,Class,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
GPT-4o,Class,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
GPT-4o,Class,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
GPT-4o,Class,ClassCastException,BBC167,10,1,1,0,0,1,0,0
GPT-4o,Class,MojoFailureException,BBC167,88,1,1,1,1,0,0,0
GPT-4o,Class,AssertionFailedError,BBC167,7,0,1,1,0,0,1,0
Qwen-480B,Minimal,RuntimeException,BBC03,8,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC03,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC03,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC03,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,IOException,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Minimal,Exception,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC27,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC27,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,APIException,BBC27,2,1,1,0,0,1,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC27,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,test_handleRequestWithIOException,BBC36,0,0,0,1,0,0,0,1
Qwen-480B,Minimal,AssertionError,BBC36,10,0,1,1,0,0,1,0
Qwen-480B,Minimal,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,test_handleRequestWithIOException,BBC49,0,0,0,1,0,0,0,1
Qwen-480B,Minimal,IllegalArgumentException,BBC49,3,0,1,1,0,0,1,0
Qwen-480B,Minimal,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,InvocationTargetException,BBC49,1,0,1,1,0,0,1,0
Qwen-480B,Minimal,MojoFailureException,BBC54,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC54,35,1,1,0,0,1,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC54,30,1,1,0,0,1,0,0
Qwen-480B,Minimal,AssertionFailedError,BBC72,7,0,1,1,0,0,1,0
Qwen-480B,Minimal,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,AssertionFailedError,BBC73,7,0,1,1,0,0,1,0
Qwen-480B,Minimal,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC101,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,ArchiverException,BBC101,1,1,1,0,0,1,0,0
Qwen-480B,Minimal,ClassCastException,BBC131,10,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC131,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,AssertionFailedError,BBC131,7,0,1,1,0,0,1,0
Qwen-480B,Minimal,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,MojoFailureException,BBC143,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC143,35,1,1,0,0,1,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC143,30,1,1,0,0,1,0,0
Qwen-480B,Minimal,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Minimal,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
Qwen-480B,Minimal,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,AssertionError,BBC165,10,0,1,1,0,0,1,0
Qwen-480B,Minimal,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
Qwen-480B,Minimal,ClassCastException,BBC167,10,1,1,0,0,1,0,0
Qwen-480B,Minimal,MojoFailureException,BBC167,88,1,1,1,1,0,0,0
Qwen-480B,Minimal,AssertionFailedError,BBC167,7,0,1,1,0,0,1,0
Qwen-480B,Method,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
Qwen-480B,Method,IOException,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Method,Exception,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC27,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC27,35,1,1,1,1,0,0,0
Qwen-480B,Method,APIException,BBC27,2,1,1,0,0,1,0,0
Qwen-480B,Method,ClassNotFoundException,BBC27,30,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC33,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC33,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC33,30,1,1,1,1,0,0,0
Qwen-480B,Method,IllegalArgumentException,BBC36,3,0,1,1,0,0,1,0
Qwen-480B,Method,AssertionError,BBC36,10,0,1,1,0,0,1,0
Qwen-480B,Method,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
Qwen-480B,Method,InvocationTargetException,BBC36,1,0,1,1,0,0,1,0
Qwen-480B,Method,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
Qwen-480B,Method,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
Qwen-480B,Method,InvocationTargetException,BBC49,1,0,1,1,0,0,1,0
Qwen-480B,Method,test_unzipFiles_withIOException,BBC49,0,0,0,1,0,0,0,1
Qwen-480B,Method,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
Qwen-480B,Method,AssertionFailedError,BBC72,7,0,1,1,0,0,1,0
Qwen-480B,Method,test_save_withInvalidPath_throwsException,BBC72,0,0,0,1,0,0,0,1
Qwen-480B,Method,AssertionFailedError,BBC73,7,0,1,1,0,0,1,0
Qwen-480B,Method,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
Qwen-480B,Method,ClassCastException,BBC103,10,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC103,88,1,1,1,1,0,0,0
Qwen-480B,Method,AssertionFailedError,BBC103,7,0,1,1,0,0,1,0
Qwen-480B,Method,JSONException,BBC115,1,1,1,0,0,1,0,0
Qwen-480B,Method,NullPointerException,BBC115,1,0,1,1,0,0,1,0
Qwen-480B,Method,MojoFailureException,BBC115,88,1,1,1,1,0,0,0
Qwen-480B,Method,Exception,BBC115,3,0,1,1,0,0,1,0
Qwen-480B,Method,ClassCastException,BBC131,10,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC131,88,1,1,1,1,0,0,0
Qwen-480B,Method,AssertionFailedError,BBC131,7,0,1,1,0,0,1,0
Qwen-480B,Method,IllegalArgumentException,BBC132,3,0,1,1,0,0,1,0
Qwen-480B,Method,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
Qwen-480B,Method,InvocationTargetException,BBC132,1,0,1,1,0,0,1,0
Qwen-480B,Method,test_getDurationInMilliseconds_withNullFile_throwsNullPointerException,BBC132,0,0,0,1,0,0,0,1
Qwen-480B,Method,ClassCastException,BBC136,10,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC136,88,1,1,1,1,0,0,0
Qwen-480B,Method,AssertionFailedError,BBC136,7,0,1,1,0,0,1,0
Qwen-480B,Method,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Method,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
Qwen-480B,Method,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
Qwen-480B,Method,IOException,BBC146,3,1,1,0,0,1,0,0
Qwen-480B,Method,Exception,BBC146,3,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
Qwen-480B,Method,APIException,BBC146,2,1,1,0,0,1,0,0
Qwen-480B,Method,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
Qwen-480B,Method,MojoFailureException,BBC147,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC147,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC147,30,1,1,1,1,0,0,0
Qwen-480B,Method,test_judgeFile_NonExistentFile_ReturnsNullAndLogsError,BBC150,0,0,0,1,0,0,0,1
Qwen-480B,Method,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
