custom_id,clientGithubURL,clientProject,clientProjectOrganisation,breakingCommit,dependencyGroupID,dependencyArtifactID,previousVersion,newVersion,failureCategory,docker_image_breaking,execution_timestamp,execution_success,return_code,execution_time_seconds,tests_run,test_failures,test_errors,test_skipped,num_exceptions,num_failed_tests,num_compilation_errors,num_error_messages,exception_types,first_error_message,all_maven_errors,build_status,log_file,parsed_errors_file,compiled?,executed?,BC_detected?
BBC104,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/666,IDS-Messaging-Services,International-Data-Spaces-Association,38eb09ebe87b73681489df7f8bac6d3eadebb1a1,org.springframework,spring-tx,5.3.24,6.0.2,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:38eb09ebe87b73681489df7f8bac6d3eadebb1a1-breaking,2026-01-04T23:57:39.974243,TRUE,0,61.17,3,0,0,0,12,0,0,2,org.springframework.beans.BeanInstantiationException|MojoFailureException|java.net.SocketTimeoutException|java.lang.UnsupportedClassVersionError,Failed to instantiate [org.springframework.test.context.transaction.TransactionalTestExecutionListener]: Unresolvable class definition; nested exception is java.lang.UnsupportedClassVersionError: org/,"Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.245 s <<< FAILURE! - in ids.messaging.dispatcher.MessageDispatcherTest|ids.messaging.dispatcher.MessageDispatcherTest  Time elapsed: 0.245 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.016 s <<< FAILURE! - in ids.messaging.requests.InfrastructureServiceTest|ids.messaging.requests.InfrastructureServiceTest  Time elapsed: 0.016 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.055 s <<< FAILURE! - in ids.messaging.endpoint.MessageControllerTest",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC104.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC104.json,No,No,No
BBC106,https://github.com/simplelocalize/simplelocalize-cli/pull/53,simplelocalize-cli,simplelocalize,a950450686c4c136567f3ba7333da8ffaaa84326,com.fasterxml.jackson.core,jackson-databind,2.9.10.5,2.12.6.1,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:a950450686c4c136567f3ba7333da8ffaaa84326-breaking,2026-01-04T23:58:20.975763,TRUE,0,22.4,4,0,0,0,15,0,0,3,java.lang.NoClassDefFoundError|java.nio.file.NoSuchFileException|java.lang.ClassNotFoundException|MojoFailureException,com/fasterxml/jackson/core/util/JacksonFeature,"Tests run: 2, Failures: 0, Errors: 2, Skipped: 0, Time elapsed: 0.252 s <<< FAILURE! - in io.simplelocalize.cli.client.ClientBodyBuildersTest|ofMimeMultipartData  Time elapsed: 0.25 s  <<< ERROR!|ofKeysBody  Time elapsed: 0.001 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.196 s <<< FAILURE! - in io.simplelocalize.cli.client.SimpleLocalizeClientTest|io.simplelocalize.cli.client.SimpleLocalizeClientTest  Time elapsed: 0.196 s  <<< ERROR!",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC106.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC106.json,Yes,Yes,No
BBC107,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/658,IDS-Messaging-Services,International-Data-Spaces-Association,6d3f6d5a9dbce8a1fea9b955e522a010f6995fbc,org.springframework,spring-tx,5.3.24,6.0.1,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:6d3f6d5a9dbce8a1fea9b955e522a010f6995fbc-breaking,2026-01-04T23:59:21.075010,TRUE,0,60.03,3,0,0,0,12,0,0,2,org.springframework.beans.BeanInstantiationException|MojoFailureException|java.net.SocketTimeoutException|java.lang.UnsupportedClassVersionError,Failed to instantiate [org.springframework.test.context.transaction.TransactionalTestExecutionListener]: Unresolvable class definition; nested exception is java.lang.UnsupportedClassVersionError: org/,"Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.304 s <<< FAILURE! - in ids.messaging.dispatcher.MessageDispatcherTest|ids.messaging.dispatcher.MessageDispatcherTest  Time elapsed: 0.304 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.013 s <<< FAILURE! - in ids.messaging.requests.InfrastructureServiceTest|ids.messaging.requests.InfrastructureServiceTest  Time elapsed: 0.013 s  <<< ERROR!|Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.043 s <<< FAILURE! - in ids.messaging.endpoint.MessageControllerTest",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC107.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC107.json,No,No,No
BBC111,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/509,IDS-Messaging-Services,International-Data-Spaces-Association,b7e4be7e46c5360726104023156ae726da6c972e,com.fasterxml.jackson.core,jackson-databind,2.9.10.8,2.13.3,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:b7e4be7e46c5360726104023156ae726da6c972e-breaking,2026-01-05T00:01:00.141360,TRUE,0,66.63,3,0,0,0,11,1,0,3,java.lang.NoClassDefFoundError|org.opentest4j.AssertionFailedError|java.lang.ClassNotFoundException|java.net.SocketTimeoutException|MojoFailureException,com/fasterxml/jackson/annotation/JsonKey,"Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.19.1:test (default-test) on project messaging: There are test failures.|[ERROR] Please refer to /IDS-Messaging-Services/messaging/target/surefire-reports for the individual test results.|-> [Help 1]|[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.|Re-run Maven using the -X switch to enable full debug logging.",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC111.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC111.json,No,No,No
BBC115,https://github.com/jericks/geoserver-shell/pull/15,geoserver-shell,jericks,57062474434f91f25595516ae8b759a53073a40f,org.json,json,20090211,20230227,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:57062474434f91f25595516ae8b759a53073a40f-breaking,2026-01-05T00:03:07.793426,TRUE,0,66.91,2,0,0,0,3,0,0,2,org.json.JSONException|MojoFailureException,"JSONObject[""id""] is not a string (class java.lang.Integer : 0).","Tests run: 28, Failures: 0, Errors: 2, Skipped: 0, Time elapsed: 6.614 s <<< FAILURE! - in org.geoserver.shell.ScriptCommandsTest|org.geoserver.shell.ScriptCommandsTest.listSession  Time elapsed: 0.243 s  <<< ERROR!|org.geoserver.shell.ScriptCommandsTest.getSession  Time elapsed: 0.223 s  <<< ERROR!|Errors:|ScriptCommandsTest.getSession:437 » JSON JSONObject[""id""] is not a string (class java.lang.Integer : 1).",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC115.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC115.json,Yes,Yes,Yes
BBC118,https://github.com/tokuhirom/avans/pull/87,avans,tokuhirom,d3c95ff17d26fa7a708166828672ed5de280f029,com.fasterxml.jackson.core,jackson-databind,2.3.3,2.13.3,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:d3c95ff17d26fa7a708166828672ed5de280f029-breaking,2026-01-05T00:04:55.925785,TRUE,0,18.32,2,1,1,0,28,0,0,8,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|java.lang.reflect.InvocationTargetException|MojoFailureException,"/: me.geso.avans.annotationbased.MyController@73b69546, []","Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.5:test (default-test) on project avans: There are test failures.|[ERROR] Please refer to /avans/avans/target/surefire-reports for the individual test results.|-> [Help 1]|[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.|Re-run Maven using the -X switch to enable full debug logging.",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC118.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC118.json,No,No,No
BBC119,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/460,IDS-Messaging-Services,International-Data-Spaces-Association,36fd224b3010a716c7ee6cab66f3897d9c3b780a,com.fasterxml.jackson.core,jackson-databind,2.9.10.8,2.13.2.2,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:36fd224b3010a716c7ee6cab66f3897d9c3b780a-breaking,2026-01-05T00:05:59.281963,TRUE,0,62.08,3,0,0,0,11,1,0,3,java.lang.NoClassDefFoundError|org.opentest4j.AssertionFailedError|java.lang.ClassNotFoundException|java.net.SocketTimeoutException|MojoFailureException,com/fasterxml/jackson/annotation/JsonKey,"Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.19.1:test (default-test) on project messaging: There are test failures.|[ERROR] Please refer to /IDS-Messaging-Services/messaging/target/surefire-reports for the individual test results.|-> [Help 1]|[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.|Re-run Maven using the -X switch to enable full debug logging.",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC119.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC119.json,No,No,No
BBC121,https://github.com/pac4j/dropwizard-pac4j/pull/299,dropwizard-pac4j,pac4j,8b372dfe79625ff585c5b0392913b6b152cc7c22,org.eclipse.jetty,jetty-server,9.4.35.v20201120,9.4.48.v20220622,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:8b372dfe79625ff585c5b0392913b6b152cc7c22-breaking,2026-01-05T00:06:48.111436,TRUE,0,30.88,4,0,4,0,79,0,0,3,java.lang.AbstractMethodError|java.lang.RuntimeException|javax.ws.rs.ProcessingException|java.net.SocketException|MojoFailureException,MultiException[java.lang.AbstractMethodError: Receiver class org.eclipse.jetty.server.AllowedResourceAliasChecker$AllowedResourceAliasCheckListener does not define or inherit an implementation of the,"Tests run: 4, Failures: 0, Errors: 4, Skipped: 0, Time elapsed: 4.522 s <<< FAILURE! - in org.pac4j.dropwizard.bundle.BundleFactoryTest|org.pac4j.dropwizard.bundle.BundleFactoryTest.emptyPac4jInConfig  Time elapsed: 2.713 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.sessiondisabledForced  Time elapsed: 0.631 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.noPac4jInConfig  Time elapsed: 0.556 s  <<< ERROR!|org.pac4j.dropwizard.bundle.BundleFactoryTest.sessionEnabledForced  Time elapsed: 0.45 s  <<< ERROR!",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC121.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC121.json,No,No,No
BBC123,https://github.com/open-pdf-sign/open-pdf-sign/pull/9,open-pdf-sign,open-pdf-sign,8fe55d8be21f549ba55bcccc2d21e81386bfc8b2,eu.europa.ec.joinup.sd-dss,dss-pades-pdfbox,5.9,5.10.2,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:8fe55d8be21f549ba55bcccc2d21e81386bfc8b2-breaking,2026-01-05T00:07:21.052426,TRUE,0,13.22,2,0,0,0,2,0,0,1,java.lang.NoSuchMethodError|MojoFailureException,'void eu.europa.esig.dss.pdf.pdfbox.PdfBoxSignatureService.checkDocumentPermissions(eu.europa.esig.dss.pdf.PdfDocumentReader)',"Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.998 s <<< FAILURE! - in org.openpdfsign.SignerTest|testSignPdf  Time elapsed: 0.998 s  <<< ERROR!|Errors:|SignerTest.testSignPdf:43 » NoSuchMethod 'void eu.europa.esig.dss.pdf.pdfbox.P...|Tests run: 5, Failures: 0, Errors: 1, Skipped: 0",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC123.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC123.json,Yes,Yes,No
BBC124,https://github.com/International-Data-Spaces-Association/IDS-Messaging-Services/pull/424,IDS-Messaging-Services,International-Data-Spaces-Association,11fa4228dbff2f7e96f71120afac3528cafa85b4,com.fasterxml.jackson.core,jackson-databind,2.9.10.8,2.13.1,TEST_FAILURE,ghcr.io/chains-project/breaking-updates:11fa4228dbff2f7e96f71120afac3528cafa85b4-breaking,2026-01-05T00:08:27.436777,TRUE,0,65.11,3,0,0,0,11,1,0,3,java.lang.NoClassDefFoundError|org.opentest4j.AssertionFailedError|java.lang.ClassNotFoundException|java.net.SocketTimeoutException|MojoFailureException,com/fasterxml/jackson/annotation/JsonKey,"Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.19.1:test (default-test) on project messaging: There are test failures.|[ERROR] Please refer to /IDS-Messaging-Services/messaging/target/surefire-reports for the individual test results.|-> [Help 1]|[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.|Re-run Maven using the -X switch to enable full debug logging.",FAILURE,/Volumes/Rachna-HD/RQResults/RQ4/BumpExecutionlogs/BBC124.log,/Volumes/Rachna-HD/RQResults/RQ4/parsed_errors/BBC124.json,No,No,No
