context_variant,model,instance,test_file,total_testcases,behavioral,crash,n/a
Class,GPT4o,BBC17,BBC17U64Test.java,1,0,1,0
Class,GPT4o,BBC17,BBC17U67Test.java,5,0,5,0
Class,GPT4o,BBC17,BBC17U68Test.java,4,0,4,0
Class,GPT4o,BBC17,BBC17U69Test.java,3,0,3,0
Class,GPT4o,BBC17,BBC17U70Test.java,3,0,3,0
Class,GPT4o,BBC27,BBC27U0Test.java,9,0,3,6
Class,GPT4o,BBC27,BBC27U2Test.java,8,0,3,5
Class,GPT4o,BBC27,BBC27U3Test.java,3,0,2,1
Class,GPT4o,BBC27,BBC27U4Test.java,3,0,2,1
Class,GPT4o,BBC33,BBC33U2Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U108Test.java,4,0,4,0
Class,GPT4o,BBC36,BBC36U138Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U149Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U213Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U280Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U42Test.java,1,0,1,0
Class,GPT4o,BBC36,BBC36U68Test.java,4,0,4,0
Class,GPT4o,BBC36,BBC36U69Test.java,4,0,4,0
Class,GPT4o,BBC36,BBC36U70Test.java,4,0,4,0
Class,GPT4o,BBC36,BBC36U72Test.java,1,0,1,0
Class,GPT4o,BBC42,BBC42U14Test.java,1,0,1,0
Class,GPT4o,BBC45,BBC45U1Test.java,1,1,0,0
Class,GPT4o,BBC49,BBC49U113Test.java,3,0,3,0
Class,GPT4o,BBC49,BBC49U115Test.java,3,0,3,0
Class,GPT4o,BBC49,BBC49U122Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U140Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U142Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U144Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U153Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U191Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U217Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U285Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U286Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U43Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U61Test.java,3,0,3,0
Class,GPT4o,BBC49,BBC49U68Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U69Test.java,1,0,1,0
Class,GPT4o,BBC49,BBC49U72Test.java,5,0,5,0
Class,GPT4o,BBC49,BBC49U73Test.java,4,0,4,0
Class,GPT4o,BBC49,BBC49U74Test.java,3,0,3,0
Class,GPT4o,BBC50,BBC50U0Test.java,1,1,0,0
Class,GPT4o,BBC54,BBC54U2Test.java,1,0,1,0
Class,GPT4o,BBC63,BBC63U1Test.java,1,1,0,0
Class,GPT4o,BBC63,BBC63U3Test.java,1,1,0,0
Class,GPT4o,BBC72,BBC72U101Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U111Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U112Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U113Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U11Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U131Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U135Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U140Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U148Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U14Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U156Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U158Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U15Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U160Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U162Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U164Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U167Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U171Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U172Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U178Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U179Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U182Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U184Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U188Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U191Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U19Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U1Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U224Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U227Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U23Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U24Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U258Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U262Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U270Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U27Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U283Test.java,2,0,2,0
Class,GPT4o,BBC72,BBC72U294Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U295Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U29Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U307Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U309Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U310Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U311Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U312Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U31Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U327Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U32Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U347Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U353Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U368Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U373Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U387Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U388Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U403Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U406Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U412Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U413Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U416Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U417Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U426Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U431Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U436Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U438Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U443Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U444Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U446Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U454Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U455Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U459Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U465Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U477Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U481Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U483Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U485Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U490Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U492Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U493Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U496Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U497Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U498Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U503Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U505Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U507Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U508Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U510Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U512Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U520Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U523Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U527Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U531Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U53Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U54Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U58Test.java,3,0,3,0
Class,GPT4o,BBC72,BBC72U59Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U61Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U64Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U68Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U70Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U72Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U74Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U79Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U82Test.java,6,0,6,0
Class,GPT4o,BBC72,BBC72U84Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U92Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U94Test.java,1,0,1,0
Class,GPT4o,BBC72,BBC72U99Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U101Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U10Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U111Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U112Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U113Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U11Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U131Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U135Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U140Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U147Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U148Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U14Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U156Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U158Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U160Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U162Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U164Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U166Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U167Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U171Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U177Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U179Test.java,2,0,2,0
Class,GPT4o,BBC73,BBC73U182Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U184Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U191Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U19Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U224Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U248Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U24Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U273Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U294Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U29Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U308Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U309Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U312Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U319Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U31Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U327Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U329Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U32Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U345Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U347Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U373Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U384Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U403Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U406Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U412Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U413Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U416Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U417Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U426Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U427Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U436Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U438Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U441Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U443Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U445Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U446Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U454Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U459Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U465Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U477Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U478Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U479Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U481Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U483Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U485Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U490Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U492Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U497Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U498Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U503Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U505Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U507Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U508Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U510Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U512Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U513Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U527Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U531Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U537Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U539Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U53Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U54Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U59Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U61Test.java,3,0,3,0
Class,GPT4o,BBC73,BBC73U64Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U68Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U69Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U72Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U73Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U79Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U82Test.java,6,0,6,0
Class,GPT4o,BBC73,BBC73U83Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U84Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U94Test.java,1,0,1,0
Class,GPT4o,BBC73,BBC73U99Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U124Test.java,2,0,2,0
Class,GPTOSS,BBC06,BBC06U132Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U136Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U13Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U142Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U178Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U17Test.java,2,0,2,0
Class,GPTOSS,BBC06,BBC06U217Test.java,1,0,1,0
Class,GPTOSS,BBC06,BBC06U33Test.java,1,0,1,0
Class,GPTOSS,BBC132,BBC132U177Test.java,2,0,2,0
Class,GPTOSS,BBC132,BBC132U206Test.java,3,0,3,0
Class,GPTOSS,BBC132,BBC132U234Test.java,1,0,1,0
Class,GPTOSS,BBC132,BBC132U245Test.java,2,0,2,0
Class,GPTOSS,BBC132,BBC132U285Test.java,1,0,1,0
Class,GPTOSS,BBC132,BBC132U69Test.java,1,0,1,0
Class,GPTOSS,BBC146,BBC146U23Test.java,3,0,1,2
Class,GPTOSS,BBC165,BBC165U139Test.java,2,0,2,0
Class,GPTOSS,BBC165,BBC165U140Test.java,1,0,1,0
Class,GPTOSS,BBC165,BBC165U152Test.java,2,0,2,0
Class,GPTOSS,BBC165,BBC165U177Test.java,2,0,2,0
Class,GPTOSS,BBC165,BBC165U191Test.java,1,0,1,0
Class,GPTOSS,BBC165,BBC165U285Test.java,1,0,1,0
Class,GPTOSS,BBC165,BBC165U75Test.java,5,0,5,0
Class,GPTOSS,BBC17,BBC17U156Test.java,1,0,1,0
Class,GPTOSS,BBC17,BBC17U206Test.java,3,0,3,0
Class,GPTOSS,BBC17,BBC17U284Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U109Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U116Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U138Test.java,1,0,1,0
Class,GPTOSS,BBC36,BBC36U140Test.java,1,0,1,0
Class,GPTOSS,BBC36,BBC36U149Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U187Test.java,1,0,1,0
Class,GPTOSS,BBC36,BBC36U202Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U216Test.java,1,0,1,0
Class,GPTOSS,BBC36,BBC36U271Test.java,2,0,2,0
Class,GPTOSS,BBC36,BBC36U280Test.java,1,0,1,0
Class,GPTOSS,BBC49,BBC49U136Test.java,1,0,1,0
Class,GPTOSS,BBC49,BBC49U159Test.java,1,0,1,0
Class,GPTOSS,BBC49,BBC49U258Test.java,1,0,1,0
Class,GPTOSS,BBC49,BBC49U63Test.java,3,0,3,0
Class,GPTOSS,BBC72,BBC72U135Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U14Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U156Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U162Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U183Test.java,2,0,2,0
Class,GPTOSS,BBC72,BBC72U189Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U206Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U220Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U244Test.java,2,2,0,0
Class,GPTOSS,BBC72,BBC72U251Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U336Test.java,3,2,1,0
Class,GPTOSS,BBC72,BBC72U449Test.java,1,1,0,0
Class,GPTOSS,BBC72,BBC72U452Test.java,1,0,1,0
Class,GPTOSS,BBC72,BBC72U520Test.java,1,1,0,0
Class,GPTOSS,BBC72,BBC72U59Test.java,2,0,2,0
Class,GPTOSS,BBC72,BBC72U86Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U113Test.java,2,0,2,0
Class,GPTOSS,BBC73,BBC73U134Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U139Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U171Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U184Test.java,2,0,2,0
Class,GPTOSS,BBC73,BBC73U338Test.java,1,1,0,0
Class,GPTOSS,BBC73,BBC73U352Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U409Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U420Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U443Test.java,1,0,1,0
Class,GPTOSS,BBC73,BBC73U59Test.java,3,0,3,0
Class,Qwen3-coder,BBC06,BBC06U10Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U11Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U120Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U124Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U127Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U130Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U135Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U137Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U138Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U140Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U142Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U144Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U148Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U149Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U150Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U153Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U154Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U156Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U157Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U159Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U15Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U160Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U162Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U163Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U166Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U168Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U171Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U172Test.java,4,0,4,0
Class,Qwen3-coder,BBC06,BBC06U173Test.java,1,0,1,0
Class,Qwen3-coder,BBC06,BBC06U174Test.java,1,0,1,0
