context_variant,model,instance,oracle_methods_used,assert_calls,bump_bc_errors,llm_detected_errors
Class,GPT4o,BBC167,assertTrue,"assertTrue(logOutput.contains(""Login successful."") | msg=""Expected log message not found."") [L27] ;; assertTrue(logOutput.contains(""Logout successful."") | msg=""Expected log message not found."") [L29]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC17,assertEquals|assertNotNull|assertNull|fail,"assertEquals(""admin/application/create"", viewName) [L32] ;; assertNotNull(application) [L35] ;; assertEquals(ApplicationStatus.MISSING_APK, application.getApplicationStatus()) [L36] ;; assertNotNull(literacySkills) [L39] ;; assertEquals(LiteracySkill.values().length, literacySkills.length) [L40] ;; assertNotNull(numeracySkills) [L43] ;; assertEquals(NumeracySkill.values().length, numeracySkills.length) [L44] ;; assertEquals(""content/contributor/add-email"", result) [L19] ;; assertEquals(""content/contributor/edit-name"", result) [L19] ;; assertEquals(""content/sound/create"", viewName) [L20] ;; assertNotNull(model.asMap().get(""sound"")) [L21] ;; assertNotNull(model.asMap().get(""timeStart"")) [L22] ;; assertNotNull(model.asMap().get(""soundTypes"")) [L23] ;; assertEquals(""content/storybook/create-from-epub"", viewName) [L43] ;; assertEquals(1, result.getErrorCount()) [L44] ;; assertEquals(""NotNull"", result.getFieldError(""bytes"").getCode()) [L45] ;; assertEquals(""sign-on-web3"", result) [L32] ;; assertEquals(""welcome"", result) [L19] ;; assertEquals(""1e8e58cc7d627a7896737cfb3eba8270.jpg"", result) [L43] ;; assertEquals(""p-16.jpg"", result) [L52] ;; assertEquals(""p-1.jpg"", result) [L61] ;; assertEquals(""image_2.jpg"", result) [L70] ;; assertNull(result) [L79] ;; assertEquals(""cover.jpg"", coverImageReference) [L25] ;; assertNull(coverImageReference) [L46] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L67] ;; assertNull(coverImageReference) [L82] ;; assertEquals(""This is a test description."", description) [L33] ;; fail(msg=""IOException occurred during test setup."") [L37] ;; assertNull(description) [L64] ;; fail(msg=""IOException occurred during test setup."") [L68] ;; assertNull(description) [L95] ;; fail(msg=""IOException occurred during test setup."") [L99] ;; assertEquals(""Test Title"", title) [L27] ;; assertNull(title) [L49] ;; assertNull(title) [L67]",NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError
Class,GPT4o,BBC27,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertNotNull(result) [L40] ;; assertEquals(""test"", result.name) [L41] ;; assertEquals(123, result.value) [L42] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L44] ;; assertNull(result) [L55] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L57] ;; assertNull(result) [L67] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L69] ;; fail(msg=""Expected SerializationException was not thrown"") [L80] ;; assertNotNull(e.getMessage()) [L82] ;; assertNotNull(result) [L94] ;; assertEquals(""test"", result.name) [L95] ;; assertEquals(123, result.value) [L96] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L98] ;; assertNull(result) [L108] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L110] ;; assertNotNull(result) [L122] ;; assertEquals(""test"", result.name) [L123] ;; assertEquals(123, result.value) [L124] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L126] ;; assertNull(result) [L137] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L139] ;; assertNull(result) [L149] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L151] ;; assertEquals(new TestObject(""test"", 123), result) [L43] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L45] ;; assertNull(result) [L55] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L57] ;; assertNull(result) [L67] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L69] ;; assertEquals(new TestObject(""test"", 123), result) [L81] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L83] ;; assertNull(result) [L93] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L95] ;; assertEquals(new TestObject(""test"", 123), result) [L107] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L109] ;; assertNull(result) [L119] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L121] ;; assertNull(result) [L132] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L134] ;; assertNotNull(result) [L19] ;; assertTrue(result.length > 0) [L20] ;; fail(msg=""SerializationException was not expected"") [L22] ;; assertNull(result) [L32] ;; fail(msg=""SerializationException was not expected"") [L34] ;; fail(msg=""SerializationException was expected"") [L47] ;; assertTrue(e.getCause() instanceof JsonProcessingException) [L49] ;; assertNotNull(result) [L17] ;; assertTrue(result.contains(""\""name\"":\""test\"""")) [L18] ;; assertTrue(result.contains(""\""value\"":123"")) [L19] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L21] ;; assertNull(result) [L31] ;; fail(msg=""SerializationException was thrown: "" + e.getMessage()) [L33] ;; fail(msg=""Expected SerializationException was not thrown"") [L44] ;; assertTrue(e.getCause() instanceof JsonProcessingException) [L46]",APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC33,,,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC36,assertEquals|assertNotNull|assertNull|fail,"assertEquals(expectedMD5, actualMD5) [L18] ;; assertEquals(expectedMD5, actualMD5) [L28] ;; fail(msg=""Expected NullPointerException"") [L37] ;; assertNotNull(actualMD5) [L48] ;; assertEquals(32, actualMD5.length()) [L49] ;; assertEquals(""content/contributor/edit-name"", result) [L19] ;; assertEquals(""content/letter/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""letter"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30] ;; assertEquals(""content/sound/create"", viewName) [L30] ;; assertEquals(true, model.containsAttribute(""sound"")) [L31] ;; assertEquals(true, model.containsAttribute(""timeStart"")) [L32] ;; assertEquals(true, model.containsAttribute(""soundTypes"")) [L33] ;; assertEquals(""sign-on-web3"", result) [L46] ;; fail(msg=""IOException was thrown: "" + e.getMessage()) [L48] ;; assertEquals(""cover.jpg"", coverImageReference) [L25] ;; assertNull(coverImageReference) [L46] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L67] ;; assertNull(coverImageReference) [L82] ;; assertEquals(""This is a test description."", description) [L14] ;; assertNull(description) [L22] ;; assertEquals("""", description) [L30] ;; assertNull(description) [L38] ;; assertEquals(""Test Title"", title) [L27] ;; assertNull(title) [L50] ;; assertNull(title) [L65] ;; assertNull(title) [L83] ;; assertEquals(expected1, result1) [L21] ;; assertEquals(expected2, result2) [L26] ;; assertEquals(expected3, result3) [L31] ;; assertEquals(expected4, result4) [L36] ;; assertEquals(expected5, result5) [L41] ;; fail(msg=""Exception occurred: "" + e.getMessage()) [L47]",ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC42,assertEquals|assertNotNull|assertNull|fail,"assertNotNull(stringed) [L32] ;; fail(ex | msg=""Failed to parse JsonEvent"") [L38] ;; assertEquals(data, deserialized.getEvent()) [L42] ;; assertNull(deserialized.getTied()) [L43] ;; assertEquals(""localhost"", deserialized.getHost()) [L44] ;; assertEquals(""main"", deserialized.getIndex()) [L45] ;; assertEquals(""test-source"", deserialized.getSource()) [L46] ;; assertEquals(""test-sourcetype"", deserialized.getSourcetype()) [L47] ;; assertEquals(event.getTime(), deserialized.getTime()) [L48] ;; assertEquals(""hao"", fieldsGot.get(""ni"")) [L51]",ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC45,assertTrue,"assertTrue(outContent.toString().contains(expectedLogMessage) | msg=""Expected log message not found."") [L30]",ClassCastException,AssertionFailedError
Class,GPT4o,BBC49,assertEquals|assertNotNull|assertNull|assertTrue|fail,"assertTrue(true) [L27] ;; fail(msg=""Exception should not be thrown in nominal case: "" + e.getMessage()) [L30] ;; assertTrue(true) [L50] ;; fail(msg=""Exception should not be thrown in boundary case: "" + e.getMessage()) [L53] ;; assertTrue(true) [L73] ;; fail(msg=""Exception should not be thrown in error case: "" + e.getMessage()) [L76] ;; assertEquals(800, width) [L22] ;; assertEquals(1, width) [L35] ;; fail(msg=""Expected an exception to be thrown"") [L46] ;; assertEquals(""java.lang.NullPointerException"", e.getClass().getName()) [L49] ;; assertEquals(""admin/application/create"", viewName) [L23] ;; assertEquals(ApplicationStatus.MISSING_APK, application.getApplicationStatus()) [L26] ;; assertEquals(LiteracySkill.values().length, literacySkills.length) [L29] ;; assertEquals(NumeracySkill.values().length, numeracySkills.length) [L32] ;; assertEquals(""content/contributor/edit-motivation"", viewName) [L18] ;; assertEquals(""content/contributor/edit-name"", result) [L22] ;; assertEquals(""content/emoji/create"", viewName) [L30] ;; assertNotNull(emoji) [L32] ;; assertEquals(""content/letter/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""letter"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30] ;; assertEquals(""content/multimedia/video/create"", viewName) [L35] ;; assertNotNull(model.asMap().get(""video"")) [L36] ;; assertEquals(ContentLicense.values().length, ((ContentLicense[]) model.asMap().get(""contentLicenses"")).length) [L37] ;; assertEquals(LiteracySkill.values().length, ((LiteracySkill[]) model.asMap().get(""literacySkills"")).length) [L38] ;; assertEquals(NumeracySkill.values().length, ((NumeracySkill[]) model.asMap().get(""numeracySkills"")).length) [L39] ;; assertEquals(""content/sound/create"", viewName) [L28] ;; assertNotNull(model.asMap().get(""sound"")) [L29] ;; assertNotNull(model.asMap().get(""timeStart"")) [L30] ;; assertNotNull(model.asMap().get(""soundTypes"")) [L31] ;; assertEquals(SoundType.values().length, ((SoundType[]) model.asMap().get(""soundTypes"")).length) [L32] ;; assertEquals(""sign-on-web3"", result) [L37] ;; assertEquals(""welcome"", result) [L19] ;; assertEquals(2, letters.size()) [L33] ;; assertEquals(""a"", letter1.getText()) [L36] ;; assertEquals(false, letter1.isDiacritic()) [L37] ;; assertEquals(10, letter1.getUsageCount().intValue()) [L38] ;; assertEquals(""á"", letter2.getText()) [L41] ;; assertEquals(true, letter2.isDiacritic()) [L42] ;; assertEquals(5, letter2.getUsageCount().intValue()) [L43] ;; assertTrue(letters.isEmpty()) [L58] ;; assertTrue(letters.isEmpty()) [L70] ;; assertEquals(2, chapterReferences.size()) [L62] ;; assertTrue(chapterReferences.contains(""1.xhtml"")) [L63] ;; assertTrue(chapterReferences.contains(""2.xhtml"")) [L64] ;; assertEquals(""cover.jpg"", coverImageReference) [L25] ;; assertNull(coverImageReference) [L46] ;; assertEquals(""coverImage.jpeg"", coverImageReference) [L67] ;; assertNull(coverImageReference) [L87] ;; assertNull(coverImageReference) [L105] ;; assertEquals(""This is a test description."", description) [L14] ;; assertNull(description) [L22] ;; assertEquals("""", description) [L30] ;; assertNull(description) [L38] ;; assertEquals(""Test Title"", title) [L27] ;; assertNull(title) [L49] ;; assertNull(title) [L72]",NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError
Class,GPT4o,BBC50,,,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC54,,,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError
Class,GPT4o,BBC63,assertTrue,"assertTrue(logOutput.contains(""Login successful."")) [L27] ;; assertTrue(logOutput.contains(""Logout successful."")) [L30]",ClassCastException,AssertionFailedError
