context_variant,model,instance,test_file,behavioral_testcases_total,oracle_method,testcases_using_method,pct_of_behavioral
Minimal,Qwen3-coder,BBC03,BBC03U0Test.java,3,assertNotNull,3,100.0
Minimal,Qwen3-coder,BBC03,BBC03U0Test.java,3,fail,3,100.0
Minimal,Qwen3-coder,BBC03,BBC03U0Test.java,3,assertFalse,2,66.7
Minimal,Qwen3-coder,BBC03,BBC03U0Test.java,3,assertTrue,2,66.7
Minimal,Qwen3-coder,BBC131,BBC131U39Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC165,BBC165U121Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC165,BBC165U121Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC167,BBC167U19Test.java,1,assertNotNull,1,100.0
Minimal,Qwen3-coder,BBC167,BBC167U19Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC167,BBC167U19Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC36,BBC36U254Test.java,1,assertNotNull,1,100.0
Minimal,Qwen3-coder,BBC36,BBC36U254Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC36,BBC36U254Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U224Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U234Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U239Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U244Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U248Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U309Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U312Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U333Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U336Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U336Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U338Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U339Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U343Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U343Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U344Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U345Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U345Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U347Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U347Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U348Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U348Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U352Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U352Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U353Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U355Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U355Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U361Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U361Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U373Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U374Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U379Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U387Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U434Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U434Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U449Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U449Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U450Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U450Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U517Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U520Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U521Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U521Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U522Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U522Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U523Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U539Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U539Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U53Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U53Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U54Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC72,BBC72U54Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U224Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U234Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U237Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U237Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U239Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U244Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U248Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U248Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U309Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U310Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U310Test.java,1,assertNotNull,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U312Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U333Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U338Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U339Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U343Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U343Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U344Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U344Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U345Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U345Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U347Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U347Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U348Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U348Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U352Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U352Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U353Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U353Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U354Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U361Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U361Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U368Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U373Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U373Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U374Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U374Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U379Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U384Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U388Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U388Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U434Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U449Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U449Test.java,1,assertNotNull,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U450Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U450Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U515Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U517Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U520Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U521Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U521Test.java,1,fail,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U522Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U522Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U523Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U539Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U539Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U53Test.java,1,assertDoesNotThrow,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U53Test.java,1,assertTrue,1,100.0
Minimal,Qwen3-coder,BBC73,BBC73U54Test.java,1,assertDoesNotThrow,1,100.0
