context_variant,model,instance,test_file,test_case,execution_result,root_cause,root_cause_source,reflective,llm_detected_errors,bump_bc_errors,matched_errors,match_count
Class,GPT4o,BBC06,BBC06U286Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U43Test.java,test_refreshStoryBooksJSONArray,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_invalidFormat,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U61Test.java,test_getLettersFromCsvBackup_nominal,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_blankValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_invalidValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_nullValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U63Test.java,test_extractSoundType_validValue,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_invalidFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U64Test.java,test_getSoundsFromCsvBackup_nominal,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U68Test.java,test_extractChapterReferencesFromTableOfContentsFile,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U69Test.java,test_extractChapterReferencesFromTableOfContentsFileNcx,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_coverInHref,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_noCoverImage,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U72Test.java,test_extractCoverImageReferenceFromOpfFile_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_emptyFile,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_invalidXml,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_noDescription,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U73Test.java,test_extractDescriptionFromOpfFile_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC06,BBC06U76Test.java,test_getCleanedUpParagraph,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC103,BBC103U1Test.java,test_loginPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC103,BBC103U3Test.java,test_logoutPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC131,BBC131U1Test.java,test_loginPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC131,BBC131U3Test.java,test_logoutPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_boundary,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_error,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U115Test.java,test_getWidth_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U136Test.java,test_handleRequest,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U140Test.java,test_handleRequest,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U144Test.java,test_handleRequest,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U276Test.java,test_handleAuthorization,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U276Test.java,test_logging,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U286Test.java,test_handleRequest,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U43Test.java,test_refreshStoryBooksJSONArray,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_invalidFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U61Test.java,test_getLettersFromCsvBackup_nominal,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_blankValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_invalidValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U63Test.java,test_extractSoundType_validValue,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U64Test.java,test_getSoundsFromCsvBackup,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_coverInHref,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_emptyManifest,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_noCoverImage,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U72Test.java,test_extractCoverImageReferenceFromOpfFile_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_emptyFile,ERROR,NoSuchMethodError,top,False,NoSuchMethodError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,1
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_invalidXml,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_noTitle,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC132,BBC132U74Test.java,test_extractTitleFromOpfFile_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,MojoFailureException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError,1
Class,GPT4o,BBC136,BBC136U1Test.java,test_loginPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC136,BBC136U3Test.java,test_logoutPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArray,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArrayWithEmpty,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromByteArrayWithNull,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromInputStream,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromInputStreamWithNull,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromString,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC146,BBC146U0Test.java,testDeserializeFromStringWithNull,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeByteArray,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeByteArray_emptyInput,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeByteArray_nullInput,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeInputStream,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeInputStream_nullInput,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeString,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeString_emptyInput,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U2Test.java,test_deserializeString_nullInput,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U3Test.java,test_serialize_invalidObject,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC146,BBC146U3Test.java,test_serialize_nominal,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC146,BBC146U3Test.java,test_serialize_nullObject,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U4Test.java,test_serializeToString_withInvalidObject,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC146,BBC146U4Test.java,test_serializeToString_withNullObject,PASSED,,none,False,,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,,0
Class,GPT4o,BBC146,BBC146U4Test.java,test_serializeToString_withValidObject,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,APIException|ClassNotFoundException|Exception|IOException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC150,BBC150U1Test.java,testElectBestCharsetBothDifferent,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U1Test.java,testElectBestCharsetBothEqual,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U1Test.java,testElectBestCharsetBothNull,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U1Test.java,testElectBestCharsetFirstNull,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U1Test.java,testElectBestCharsetSecondNull,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U21Test.java,test_storeDataToProperties,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U38Test.java,test_getCurrentDateString,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U47Test.java,test_getFileLineCount_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U47Test.java,test_getFileLineCount_nominal,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U47Test.java,test_getFileLineCount_nonExistentFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U4Test.java,test_run,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U5Test.java,test_copyDirectory,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC150,BBC150U6Test.java,test_copyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC162,BBC162U1Test.java,test_loginPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC162,BBC162U3Test.java,test_logoutPerformed,FAILURE,AssertionFailedError,top,False,AssertionFailedError,ClassCastException|MojoFailureException,,0
Class,GPT4o,BBC165,BBC165U122Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U140Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U153Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U178Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U233Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U275Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U276Test.java,test_handleAuthorization,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U286Test.java,test_handleRequest,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U43Test.java,test_refreshStoryBooksJSONArray,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U61Test.java,test_getLettersFromCsvBackup_emptyFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC165,BBC165U61Test.java,test_getLettersFromCsvBackup_invalidFile,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC165,BBC165U61Test.java,test_getLettersFromCsvBackup_nominal,ERROR,ClassNotFoundException,caused_by,False,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,2
Class,GPT4o,BBC165,BBC165U63Test.java,test_extractSoundType_blankValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC165,BBC165U63Test.java,test_extractSoundType_invalidValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
Class,GPT4o,BBC165,BBC165U63Test.java,test_extractSoundType_nullValue,ERROR,NoClassDefFoundError,top,False,NoClassDefFoundError,ClassNotFoundException|MojoFailureException|NoClassDefFoundError,NoClassDefFoundError,1
