custom_id,clientGithubURL,clientProject,clientProjectOrganisation,breakingCommit,dependencyGroupID,dependencyArtifactID,previousVersion,newVersion,failureCategory,libraryGithubURL,ClientCloneStatus,LibraryCloneStatus,LibraryRepoFolder,ActualImportBase
BBC84,https://github.com/pac4j/dropwizard-pac4j/pull/313,dropwizard-pac4j,pac4j,e0f2562e849012538cd30e2730c82991983f4eba,org.slf4j,slf4j-api,1.7.30,2.0.0,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC85,https://github.com/alphagov/pay-adminusers/pull/1626,pay-adminusers,alphagov,c5db2b610e30061ea559e10cbccffb055d345d5e,org.slf4j,slf4j-api,1.7.36,2.0.3,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC86,https://github.com/retest/recheck.cli/pull/349,recheck.cli,retest,41164ec5392b2c853ae871f10a9541c055028b36,ch.qos.logback,logback-classic,1.2.11,1.4.3,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC87,https://github.com/feedzai/pdb/pull/367,pdb,feedzai,18e92e4eb94da9f20b9864486865295176ebd83a,org.slf4j,slf4j-api,1.7.36,2.0.6,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j.migrator
BBC91,https://github.com/alphagov/pay-cardid/pull/719,pay-cardid,alphagov,d9e80390c47f51b6f8b3cdc1d6a1305eafde811f,org.dhatim,dropwizard-sentry,2.0.22,2.0.28-4,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC92,https://github.com/retest/recheck.cli/pull/346,recheck.cli,retest,89c60030429466a6cca77c2549a53a17c085033d,ch.qos.logback,logback-classic,1.2.11,1.4.1,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC93,https://github.com/takari/polyglot-maven/pull/241,polyglot-maven,takari,d9a0df6feee60bb6d7d301f251cab386168eecd1,org.jetbrains.kotlin,kotlin-stdlib,1.3.31,1.6.0,TEST_FAILURE,https://github.com/JetBrains/kotlin,Cloned,Cloned,kotlin,org.jetbrains.kotlin
BBC95,https://github.com/pmckeown/dependency-track-maven-plugin/pull/290,dependency-track-maven-plugin,pmckeown,4d4a773e3498e14932bfaf82f957c2a3f5c2cfe3,com.sun.xml.bind,jaxb-impl,2.3.3,4.0.0,TEST_FAILURE,https://github.com/eclipse-ee4j/jaxb-ri,Cloned,Cloned,jaxb-ri,com.sun.tools
BBC96,https://github.com/alphagov/pay-cardid/pull/712,pay-cardid,alphagov,30149ce4bdde6418aad7f02c35bd9dc8101b58ac,org.dhatim,dropwizard-sentry,2.0.22,2.0.28-3,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC102,https://github.com/lukas-krecan/JsonUnit/pull/498,JsonUnit,lukas-krecan,5275fc9ef87a6d411b719d78c681b81ac914798b,org.apache.maven.surefire,surefire-junit4,3.0.0-M5,3.0.0-M6,TEST_FAILURE,https://github.com/apache/maven-surefire,Cloned,Cloned,maven-surefire,org.apache.maven
BBC105,https://github.com/alphagov/pay-cardid/pull/689,pay-cardid,alphagov,359f45ab2b6e53e99b26cb7c053114abff1bd74f,org.dhatim,dropwizard-sentry,2.0.22,2.0.26-3,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC110,https://github.com/feedzai/pdb/pull/366,pdb,feedzai,b5eb721e10cb05e68c0283d8a76c46cc257a0331,org.slf4j,slf4j-api,1.7.36,2.0.5,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC113,https://github.com/matteobaccan/html2pop3/pull/291,html2pop3,matteobaccan,2b60dcd83ece76e58dee05be56f00eba6deb4ac6,ch.qos.logback,logback-classic,1.2.11,1.4.0,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC115,https://github.com/jericks/geoserver-shell/pull/15,geoserver-shell,jericks,57062474434f91f25595516ae8b759a53073a40f,org.json,json,20090211,20230227,TEST_FAILURE,https://github.com/douglascrockford/JSON-java,Cloned,Cloned,JSON-java,org.json
BBC117,https://github.com/alphagov/pay-adminusers/pull/1558,pay-adminusers,alphagov,fcac4926cf5adb0de62abda8c386056bcc516f70,org.slf4j,slf4j-api,1.7.36,2.0.0,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC126,https://github.com/camunda-community-hub/camunda-platform-7-camel/pull/114,camunda-platform-7-camel,camunda-community-hub,3b26e04706e255544d99886b643936cfff6e2aeb,jakarta.xml.bind,jakarta.xml.bind-api,2.3.2,4.0.0,TEST_FAILURE,https://github.com/jakartaee/jaxb-api,Cloned,Cloned,jaxb-api,jakarta.xml.bind
BBC127,https://github.com/oripa/oripa/pull/164,oripa,oripa,ac14d8362de4bfcf636e1468d68faa10d8b42669,org.apache.logging.log4j,log4j-core,2.12.1,2.15.0,TEST_FAILURE,https://github.com/apache/logging-log4j2,Cloned,Cloned,logging-log4j2,org.apache.logging
BBC128,https://github.com/spotify/missinglink/pull/321,missinglink,spotify,78445745997d3ebe5d1e35d9762d95af875c85ec,org.codehaus.plexus,plexus-utils,3.5.0,4.0.0,TEST_FAILURE,https://github.com/codehaus-plexus/plexus-utils,Cloned,Cloned,plexus-utils,org.codehaus.plexus
BBC129,https://github.com/alphagov/pay-cardid/pull/1042,pay-cardid,alphagov,a0855ad505640bff0825e1cde2ab7cacdfb5c2af,org.dhatim,dropwizard-sentry,2.1.2-4,4.0.1-3,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC130,https://github.com/retest/recheck.cli/pull/345,recheck.cli,retest,c007e01d4bad22201d0ce3dcf3a4dc04bc282647,ch.qos.logback,logback-classic,1.2.11,1.4.0,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC134,https://github.com/pac4j/dropwizard-pac4j/pull/350,dropwizard-pac4j,pac4j,f1dfdcd3774cc7ad8900e232607d1519085e48d7,org.glassfish.jersey.core,jersey-server,2.32,2.38,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC140,https://github.com/apache/directory-scimple/pull/49,directory-scimple,apache,2f9d75d4b01cd18afcb4676d134142882f9e0034,javax,javaee-api,7,8.0.1,TEST_FAILURE,https://github.com/javaee/glassfish,Cloned,Cloned,glassfish,com.sun.enterprise
BBC141,https://github.com/citerus/dddsample-core/pull/121,dddsample-core,citerus,8ecc7850c97f4616ec4e67f7568adf34293cc4f1,jakarta.xml.bind,jakarta.xml.bind-api,2.3.3,4.0.0,TEST_FAILURE,https://github.com/jakartaee/jaxb-api,Cloned,Cloned,jaxb-api,jakarta.xml.bind
BBC142,https://github.com/retest/recheck.cli/pull/353,recheck.cli,retest,e35a97cf177d8cd7d022c4adca7da24f1a17a2eb,ch.qos.logback,logback-classic,1.2.11,1.4.5,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC148,https://github.com/pholser/junit-quickcheck/pull/499,junit-quickcheck,pholser,7c90c61e90e9936d8a7e355de8900214c759cb61,org.mockito,mockito-core,4.11.0,5.3.1,TEST_FAILURE,https://github.com/mockito/mockito,Cloned,Cloned,mockito,org.mockito
BBC149,https://github.com/retest/recheck.cli/pull/350,recheck.cli,retest,bab3a3c5b1aa9ee57dcbff7f146576f2c0c7251d,ch.qos.logback,logback-classic,1.2.11,1.4.4,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC152,https://github.com/alphagov/pay-cardid/pull/1038,pay-cardid,alphagov,770174eb3091f7a6cf44cc533db18246d7d8e241,org.dhatim,dropwizard-sentry,2.1.2-4,4.0.1-2,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC156,https://github.com/fmtn/a/pull/214,a,fmtn,3b47c247b867ea50405402d650c08c8b5bbc2b8a,org.graalvm.js,js-scriptengine,22.3.2,23.0.0,TEST_FAILURE,https://github.com/graalvm/graaljs,Cloned,Cloned,graaljs,com.oracle.truffle
BBC157,https://github.com/alphagov/pay-cardid/pull/725,pay-cardid,alphagov,22eec990412b563439a1dfae84134b43d85d9815,org.dhatim,dropwizard-sentry,2.0.22,2.0.28-8,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC159,https://github.com/pmckeown/dependency-track-maven-plugin/pull/348,dependency-track-maven-plugin,pmckeown,8ef89758401d5511783c909f8d45b5431afb361c,com.sun.xml.bind,jaxb-impl,2.3.3,4.0.2,TEST_FAILURE,https://github.com/eclipse-ee4j/jaxb-ri,Cloned,Cloned,jaxb-ri,com.sun.tools
BBC160,https://github.com/pac4j/dropwizard-pac4j/pull/295,dropwizard-pac4j,pac4j,3b7f524a09d711bc5af151086de48db940455e6a,org.glassfish.jersey.core,jersey-server,2.32,2.36,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC161,https://github.com/fmtn/a/pull/138,a,fmtn,56b1cde573f7b411a3a831bed30c624ddfdbdf3d,org.graalvm.js,js-scriptengine,22.0.0,22.1.0,TEST_FAILURE,https://github.com/graalvm/graaljs,Cloned,Cloned,graaljs,com.oracle.truffle
BBC163,https://github.com/alphagov/pay-adminusers/pull/1591,pay-adminusers,alphagov,1266a8c84cd04cedfa316bed94b1e9b014da872f,org.slf4j,slf4j-api,1.7.36,2.0.1,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC164,https://github.com/matteobaccan/html2pop3/pull/288,html2pop3,matteobaccan,471b0bd83c66392faf40bd52e9abc4883ef2bc7a,ch.qos.logback,logback-classic,1.2.11,1.4.0,TEST_FAILURE,https://github.com/qos-ch/logback,Cloned,Cloned,logback,ch.qos.logback
BBC172,https://github.com/alphagov/pay-cardid/pull/1035,pay-cardid,alphagov,ae0c985ae9bd343310b66c5d9895aa068b5ef505,org.dhatim,dropwizard-sentry,2.1.2-4,4.0.0,TEST_FAILURE,https://github.com/dhatim/dropwizard-sentry,Cloned,Cloned,dropwizard-sentry,org.dhatim.dropwizard
BBC173,https://github.com/pac4j/dropwizard-pac4j/pull/321,dropwizard-pac4j,pac4j,e59bf2313ed8a7a196c271ba1c9ea0e5a4b66f24,org.glassfish.jersey.core,jersey-server,2.32,2.37,TEST_FAILURE,https://github.com/eclipse-ee4j/jersey,Cloned,Cloned,jersey,org.glassfish.jersey
BBC175,https://github.com/pac4j/dropwizard-pac4j/pull/278,dropwizard-pac4j,pac4j,8929dc34435f6b4e54bc889c83a5cb27b2931e51,jakarta.xml.bind,jakarta.xml.bind-api,2.3.3,4.0.0,TEST_FAILURE,https://github.com/jakartaee/jaxb-api,Cloned,Cloned,jaxb-api,jakarta.xml.bind
BBC177,https://github.com/premium-minds/billy/pull/269,billy,premium-minds,875358af2da44c7f35c3ee17bf2113cd6ec43491,org.hibernate.validator,hibernate-validator,6.1.7.Final,7.0.4.Final,TEST_FAILURE,https://github.com/hibernate/hibernate-validator,Cloned,Cloned,hibernate-validator,org.hibernate.validator
BBC180,https://github.com/alphagov/pay-adminusers/pull/1785,pay-adminusers,alphagov,2241358955f2c69c84b24560ca10718c1c338b97,org.slf4j,slf4j-api,1.7.36,2.0.6,TEST_FAILURE,https://github.com/qos-ch/slf4j,Cloned,Cloned,slf4j,org.slf4j
BBC181,https://github.com/quick-perf/quickperf/pull/168,quickperf,quick-perf,9069046236a07524578ff81b32ff92f34c59553d,org.apache.logging.log4j,log4j-core,2.11.1,2.16.0,TEST_FAILURE,https://github.com/apache/logging-log4j2,Cloned,Cloned,logging-log4j2,org.apache.logging
